,카테고리,lnt,lat
148,와이파이,37.556442,126.87178999999999
149,와이파이,37.550938,126.84964
150,와이파이,37.542885,126.86245
151,와이파이,37.542885,126.86245
152,와이파이,37.555756,126.85897
153,와이파이,37.55917,126.85488000000001
154,와이파이,37.558693,126.85718
155,와이파이,37.55689,126.85531
156,와이파이,37.5568,126.85778
157,와이파이,37.556988,126.85848999999999
158,와이파이,37.55494,126.85727
159,와이파이,37.555855,126.8591
160,와이파이,37.554707,126.86165
161,와이파이,37.55407,126.86301
162,와이파이,37.554916,126.85783
163,와이파이,37.55567,126.86218000000001
164,와이파이,37.55466,126.8635
165,와이파이,37.553345,126.86373999999999
166,와이파이,37.55237,126.863716
167,와이파이,37.55337,126.86148999999999
168,와이파이,37.55388,126.85986000000001
169,와이파이,37.55431,126.86522
170,와이파이,37.5535,126.86133999999998
171,와이파이,37.55323,126.86063
172,와이파이,37.55532,126.85512
173,와이파이,37.55532,126.85512
174,와이파이,37.555458,126.85451
175,와이파이,37.555458,126.85451
176,와이파이,37.54914,126.86328999999999
177,와이파이,37.55753,126.85378
178,와이파이,37.555805,126.85892
179,와이파이,37.555805,126.85892
180,와이파이,37.555805,126.85892
181,와이파이,37.552795,126.85048
182,와이파이,37.552795,126.85048
183,와이파이,37.552795,126.85048
184,와이파이,37.552795,126.85048
185,와이파이,37.549664,126.86831000000001
186,와이파이,37.5464,126.862144
187,와이파이,37.546597,126.86222
188,와이파이,37.54636,126.86238999999999
189,와이파이,37.55897,126.847916
190,와이파이,37.55897,126.847916
191,와이파이,37.542637,126.86254
192,와이파이,37.552795,126.85048
193,와이파이,37.552795,126.85048
194,와이파이,37.552795,126.85048
195,와이파이,37.552795,126.85048
196,와이파이,37.552795,126.85048
197,와이파이,37.552795,126.85048
198,와이파이,37.551052,126.86211999999999
199,와이파이,37.55141,126.8606
200,와이파이,37.550488,126.86091599999999
201,와이파이,37.550213,126.85922
202,와이파이,37.55081,126.859146
203,와이파이,37.550274,126.85767
204,와이파이,37.550495,126.862526
205,와이파이,37.549477,126.86283
206,와이파이,37.549385,126.86085
207,와이파이,37.54878,126.860634
208,와이파이,37.547802000000004,126.86236000000001
209,와이파이,37.54599,126.86069499999999
210,와이파이,37.54719,126.85968999999999
211,와이파이,37.546387,126.85908
212,와이파이,37.54538,126.85911599999999
213,와이파이,37.55018,126.86373
214,와이파이,37.537956,126.86281000000001
215,와이파이,37.536190000000005,126.86265
216,와이파이,37.535587,126.86303000000001
217,와이파이,37.549618,126.86168
218,와이파이,37.5491,126.862404
219,와이파이,37.547325,126.86133999999998
220,와이파이,37.54743,126.859474
221,와이파이,37.542429999999996,126.86211399999999
222,와이파이,37.542645,126.862495
223,와이파이,37.546494,126.86227
224,와이파이,37.55897,126.847916
225,와이파이,37.544247,126.84756499999999
226,와이파이,37.544247,126.84756499999999
227,와이파이,37.558871999999994,126.84782
228,와이파이,37.56723,126.84236999999999
229,와이파이,37.56644,126.84086
230,와이파이,37.56559,126.84165
231,와이파이,37.56196,126.84031999999999
232,와이파이,37.565598,126.84433999999999
233,와이파이,37.56419,126.84891999999999
234,와이파이,37.55993,126.84536000000001
235,와이파이,37.559162,126.84494
236,와이파이,37.55989,126.84378000000001
237,와이파이,37.55867,126.84348999999999
238,와이파이,37.559185,126.84153
239,와이파이,37.560179999999995,126.8417
240,와이파이,37.56276,126.8461
241,와이파이,37.563213,126.84853999999999
242,와이파이,37.56157,126.85203999999999
243,와이파이,37.55928,126.8475
244,와이파이,37.559740000000005,126.84777
245,와이파이,37.558265999999996,126.84745
246,와이파이,37.558323,126.84938000000001
247,와이파이,37.55787,126.84893999999998
248,와이파이,37.557159999999996,126.8508
249,와이파이,37.558716,126.85168999999999
250,와이파이,37.56118,126.85304
251,와이파이,37.560604,126.85465
252,와이파이,37.544556,126.84100000000001
253,와이파이,37.54455,126.84167
254,와이파이,37.5571,126.84988
255,와이파이,37.556885,126.85047
256,와이파이,37.557262,126.84941
257,와이파이,37.558155,126.84516
258,와이파이,37.558155,126.84516
259,와이파이,37.558815,126.83882
260,와이파이,37.558907,126.84785
261,와이파이,37.559670000000004,126.85055
262,와이파이,37.559670000000004,126.85055
263,와이파이,37.559670000000004,126.85055
264,와이파이,37.559670000000004,126.85055
265,와이파이,37.559670000000004,126.85055
266,와이파이,37.559670000000004,126.85055
267,와이파이,37.559670000000004,126.85055
268,와이파이,37.559670000000004,126.85055
269,와이파이,37.559670000000004,126.85055
270,와이파이,37.559670000000004,126.85055
271,와이파이,37.542770000000004,126.84408
272,와이파이,37.542866,126.843346
273,와이파이,37.53069,126.8415
274,와이파이,37.53069,126.8415
275,와이파이,37.54399,126.84756499999999
276,와이파이,37.543365,126.8441
277,와이파이,37.531452,126.83749399999999
278,와이파이,37.54707,126.84783
279,와이파이,37.546170000000004,126.85037
280,와이파이,37.540585,126.849014
281,와이파이,37.547188,126.84873999999999
282,와이파이,37.54655,126.84822
283,와이파이,37.54599,126.84778600000001
284,와이파이,37.545204,126.84719
285,와이파이,37.544579999999996,126.84663400000001
286,와이파이,37.543888,126.84583
287,와이파이,37.543296999999995,126.84505
288,와이파이,37.542835,126.84438
289,와이파이,37.542404,126.84376499999999
290,와이파이,37.54183,126.84293999999998
291,와이파이,37.541252,126.84238400000001
292,와이파이,37.5405,126.84177
293,와이파이,37.548970000000004,126.84787
294,와이파이,37.547779999999996,126.84913
295,와이파이,37.546154,126.851456
296,와이파이,37.544273,126.8488
297,와이파이,37.544643,126.84551
298,와이파이,37.543903,126.8451
299,와이파이,37.544224,126.8441
